artefact_id,typology,dataset,source_csv,length_mm,width_mm,thickness_mm,volume_mm3,surface_area_mm2,elongation,flatness,compactness,circularity,rectangularity,diameter_mm,curvature,edge_length_mean,edge_length_std,edge_length_skewness,edge_length_kurtosis,edge_angle_mean_deg,edge_angle_std_deg,edge_angle_skewness,edge_angle_kurtosis,convexity,solidity
RF.b_10019,Tool,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,17.25,7.14,4.36,175.19,92.3,2.416,1.639,0.017972,0.2526,8,0.32,0.0,4.2,6.8,5.136,39.111,4.2328,6.7862,5.1361,39.1113,0,0.9392
RF.b_10034,Tool,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,18.69,7.19,5.9,165.79,72.38,2.6,1.22,0.011079,0.3154,8,0.42,66.7,5.2,7.4,3.916,21.842,5.2022,7.3902,3.9158,21.8423,0,0.9444
RF.b_10047,Tool,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,25.45,6.74,5.87,281.51,132.85,3.774,1.149,0.008061,0.2306,11,0.36,72.9,4.1,7.2,4.849,30.659,4.1174,7.1540,4.8488,30.6590,0,0.9436
RF.b_10059,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,20.68,5.24,5.1,145.7,45.41,3.949,1.028,0.005132,0.2465,6,0.43,70.1,5.7,9.3,3.791,16.824,5.7082,9.2991,3.7908,16.8238,0,0.8761
RF.b_10064,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,33.39,10.04,6.92,383.09,204.26,3.326,1.451,0.005485,0.2073,11,0.38,66.8,4.8,7.0,4.552,28.461,4.8474,7.0451,4.5519,28.4606,0,0.8673
RF.b_10067,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,31.04,15.19,13.75,485.29,328.26,2.044,1.104,0.010977,0.4431,10,0.35,63.5,4.6,6.0,3.8,19.864,4.5707,6.0388,3.7998,19.8636,0,0.8455
RF.b_10070,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,34.71,34.42,19.66,1081.95,1187.2,1.009,1.75,0.028389,0.5665,19,0.14,56.9,4.2,5.6,4.874,44.254,4.1775,5.6326,4.8738,44.2544,0,0.9352
RF.b_10205,Flake,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,67.65,65.9,50.49,4607.66,15357.49,1.026,1.305,0.049615,0.7464,20,0.92,65.0,2.4,5.1,5.591,47.02,2.4353,5.1254,5.5908,47.0196,0,0.9716
RF.b_10273,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,50.74,36.99,14.72,1021.83,930.53,1.372,2.513,0.007122,0.2902,7,1.11,63.9,4.0,9.7,4.649,25.585,4.0395,9.6967,4.6487,25.5846,0,0.8877
RF.b_10349,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,45.22,30.09,28.78,1677.78,2576.03,1.503,1.046,0.027861,0.6364,27,0.17,62.6,3.4,4.1,4.463,42.02,3.4066,4.0583,4.4631,42.0200,0,0.9109
RF.b_10350,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,42.17,25.8,19.58,1243.31,1089.07,1.635,1.317,0.014523,0.4644,21,0.16,65.7,4.9,5.4,4.275,38.732,4.8934,5.3709,4.2747,38.7320,0,0.8913
RF.b_10351,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,64.39,54.25,42.4,2951.51,5755.4,1.187,1.279,0.021563,0.6585,94,0.15,65.8,6.8,6.4,2.663,14.643,6.8228,6.4038,2.6632,14.6425,0,0.9428
RF.b_10352,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,41.69,28.98,21.2,1250.23,1410.08,1.438,1.367,0.019466,0.5085,21,0.17,68.5,6.0,6.5,3.795,29.011,5.9923,6.4886,3.7952,29.0112,0,0.9306
RF.b_10353,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,37.96,33.96,22.48,1163.99,1318.1,1.118,1.51,0.024092,0.5923,31,0.13,62.0,4.1,6.0,5.759,57.524,4.1390,6.0070,5.7586,57.5239,1,0.8435
RF.b_10354,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,73.51,52.47,31.78,4108.41,9576.23,1.401,1.651,0.024104,0.4323,29,0.13,60.1,3.1,4.1,5.628,58.95,3.1402,4.0840,5.6279,58.9503,0,0.9199
RF.b_10355,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,59.21,42.11,27.87,2568.49,3869.29,1.406,1.511,0.018638,0.4707,28,0.13,61.1,3.7,5.1,6.471,73.377,3.6969,5.0868,6.4710,73.3766,1,0.8889
RF.b_10356,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,37.96,29.65,21.25,1234.95,1122.71,1.28,1.395,0.020527,0.5599,7,0.12,58.3,2.7,5.7,9.009,117.992,2.6746,5.6771,9.0087,117.9925,2,0.9336
RF.b_10357,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,54.34,42.37,28.57,2089.2,3401.7,1.282,1.483,0.021199,0.5258,14,0.19,69.7,2.3,3.3,5.31,42.874,2.3148,3.2591,5.3100,42.8737,0,0.8638
RF.b_10358,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,48.71,34.75,24.13,1477.68,1604.74,1.402,1.44,0.013881,0.4954,9,0.21,59.7,2.6,4.2,7.515,103.011,2.6311,4.1926,7.5148,103.0111,0,0.8677
RF.b_10359,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,43.17,38.63,25.6,1145.58,1341.14,1.118,1.509,0.01667,0.5929,13,0.14,71.5,7.7,9.0,4.293,33.796,7.7423,8.9900,4.2934,33.7956,5,0.8189
RF.b_10360,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,37.14,27.37,24.29,971.04,858.81,1.357,1.127,0.016758,0.654,16,0.13,61.4,3.7,5.1,5.642,52.999,3.7413,5.1335,5.6418,52.9990,0,0.9085
RF.b_10361,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,63.3,58.39,51.34,3128.68,4970.54,1.084,1.137,0.019601,0.8111,24,0.14,63.0,5.8,5.9,3.692,25.776,5.7798,5.8964,3.6921,25.7756,0,0.8687
RF.b_10362,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,64.21,51.65,31.25,2959.6,5799.22,1.243,1.653,0.021903,0.4866,32,0.12,76.8,4.4,4.8,3.581,21.883,4.4408,4.7554,3.5806,21.8830,0,0.9162
RF.b_10363,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,48.97,16.73,12.24,1230.36,1003.86,2.927,1.367,0.008547,0.2499,10,0.35,74.2,3.0,5.4,8.551,138.723,3.0430,5.3695,8.5505,138.7229,1,0.9149
RF.b_10364,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,49.96,28.57,21.45,1427.64,1772.87,1.749,1.332,0.014213,0.4294,8,0.37,69.0,3.2,5.4,8.961,160.736,3.2153,5.3740,8.9607,160.7361,2,0.9426
