ID,Scanner,Layer,Raw_material,Class,Blank,Technology,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,Core_classification
CTC_1,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,22491.4,5305.13,59.5,36.09999847,26.70000076,Semi-circumferential
CTC_10,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,33-66%,NA,4184.02,1628.96,31.60000038,17.20000076,18.10000038,Multi-platform
CTC_100,Artec.Spider,rsa',Fine-grained chert,Core-Tool,Other,Other,1-33%,NA,10913.76,2761.13,24.39999962,36.40000153,28.89999962,Carinated
CTC_1000,Artec.Spider,gic,Fine-grained chert,Core-Tool,Other,Other,33-66%,NA,7064.75,2514.46,36.59999847,18.10000038,22.20000076,Initial carinated
CTC_1002,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Optimal,0%,NA,3383.35,1702.22,16,24.39999962,33.90000153,Carinated
CTC_1003,Artec.Spider,gic,Radiolarite,Tool,Flake,Optimal,0%,Complete,2679.1,1491.73,34.40000153,22.60000038,7.599999905,NA
CTC_1004,Artec.Spider,gic,Fine-grained chert,Core-Tool,Undetermined,Other,0%,NA,270.1,284.75,10.10000038,13.80000019,7.5,Carinated
CTC_1006,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,0%,NA,7712.54,2629.17,27.89999962,22.29999924,33.59999847,Semi-circumferential
CTC_1007,Artec.Spider,gic,Fine-grained chert,Blank,Flake,Maintenance,0%,Complete,4435.96,2172.98,55,26,13.30000019,NA
CTC_1008,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Optimal,0%,NA,11304.57,3395.87,23.60000038,34.59999847,46.40000153,Carinated
CTC_1009,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Semi-cortical,1-33%,NA,18362.89,4782.81,23.29999924,47.70000076,45.29999924,Carinated
CTC_101,Artec.Spider,rsa',Fine-grained chert,Core-Tool,Flake,Optimal,0%,Undetermined,5374.57,1953.65,17.39999962,24.70000076,15.39999962,Carinated
