ID,Site,Stratigraphic_unit,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
RF.b_10019,Fumane,D3d.base,Maiolica,Tool,Bladelet,Optimal,NA,0%,Complete,92.3001709,175.1875123,16.7,5.1,1.5,RF.b_10019.ply,1 unit = 1mm,16264,0.167,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10034,Fumane,D3d,Maiolica,Tool,Bladelet,Optimal,NA,0%,Complete,72.37731934,165.7926894,18.7,4.9,1.4,RF.b_10034.ply,1 unit = 1mm,15116,0.168252,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10047,Fumane,D3d.base,Maiolica,Tool,Bladelet,Optimal,NA,0%,Complete,132.8534393,281.5067658,25.9,5.7,1.6,RF.b_10047.ply,1 unit = 1mm,26330,0.166494,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10059,Fumane,D3b,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,45.40675735,145.6971423,20.3,3.7,0.5,RF.b_10059.ply,1 unit = 1mm,12206,0.176029,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10064,Fumane,D3d.base,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,204.2626648,383.0916002,32.5,7.3,1.9,RF.b_10064.ply,1 unit = 1mm,35298,0.167301,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10067,Fumane,D3d.base,Maiolica,Blank,Bladelet,Maintenance,NA,1-33%,Complete,328.2554016,485.290734,29.3,9.5,3.1,RF.b_10067.ply,1 unit = 1mm,41082,0.174183,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10070,Fumane,D3b.alpha,Maiolica,Blank,Blade,Maintenance,NA,1-33%,Distal,1187.195313,1081.947396,39.4,13.4,4.6,RF.b_10070.ply,1 unit = 1mm,262334,0.103599,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10205,Fumane,D1,Maiolica,Blank,Flake,Maintenance,NA,0%,Proximal,15357.49316,4607.663784,NA,40,12.60000038,RF.b_10205.ply,1 unit = 1mm,139414,0.298626,Low-detail,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10273,Fumane,D1d,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,930.5310669,1021.832951,52.5,10.69999981,4.5,RF.b_10273.ply,1 unit = 1mm,30664,0.298399,Low-detail,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10349,Fumane,A1,Maiolica,Blank,Blade,Semi-cortical,NA,33-66%,Complete,2576.025146,1677.783797,44.8,21,7.1,RF.b_10349.ply,1 unit = 1mm,400000,0.103982,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10350,Fumane,A1,Scaglia.Variegata,Blank,Blade,Optimal,NA,0%,Complete,1089.069946,1243.313307,44.6,14.7,4,RF.b_10350.ply,1 unit = 1mm,319650,0.101426,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10351,Fumane,A1,Maiolica,Blank,Blade,Semi-cortical,NA,33-66%,Complete,5755.404297,2951.509157,64.8,24.6,12.3,RF.b_10351.ply,1 unit = 1mm,400000,0.137471,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10352,Fumane,A1,Scaglia.Rossa,Blank,Blade,Semi-cortical,NA,1-33%,Complete,1410.081055,1250.234952,42,15.3,4.4,RF.b_10352.ply,1 unit = 1mm,303436,0.103044,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10353,Fumane,A1,Maiolica,Blank,Blade,Optimal,NA,0%,Complete,1318.103271,1163.989052,39.3,17.7,6.7,RF.b_10353.ply,1 unit = 1mm,296228,0.102166,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10354,Fumane,A2,Maiolica,Blank,Blade,Maintenance,NA,0%,Complete,9576.226563,4108.412617,76.1,29.2,13.8,RF.b_10354.ply,1 unit = 1mm,1035026,0.102304,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10355,Fumane,A2,Maiolica,Blank,Blade,Optimal,NA,0%,Complete,3869.290039,2568.493908,61.4,25.1,8.7,RF.b_10355.ply,1 unit = 1mm,671102,0.101064,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10356,Fumane,A2,Maiolica,Blank,Blade,Optimal,NA,0%,Complete,1122.7052,1234.945808,40.2,16.3,3.8,RF.b_10356.ply,1 unit = 1mm,321278,0.096271,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10357,Fumane,A2,Scaglia.Rossa,Blank,Blade,Semi-cortical,NA,1-33%,Complete,3401.704346,2089.196869,56.3,21.2,9.2,RF.b_10357.ply,1 unit = 1mm,400000,0.113921,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10358,Fumane,A2,Scaglia.Variegata,Blank,Blade,Optimal,NA,0%,Complete,1604.740967,1477.682424,49.3,16.9,5.3,RF.b_10358.ply,1 unit = 1mm,395826,0.094793,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10359,Fumane,A2,Maiolica,Blank,Blade,Maintenance,NA,1-33%,Complete,1341.140137,1145.575032,43,14.6,5.1,RF.b_10359.ply,1 unit = 1mm,297878,0.100887,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10360,Fumane,A2,Maiolica,Blank,Blade,Semi-cortical,NA,1-33%,Complete,858.8133545,971.0444089,37,15.5,6,RF.b_10360.ply,1 unit = 1mm,248340,0.102038,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10361,Fumane,A2,Maiolica,Blank,Blade,Semi-cortical,NA,1-33%,Complete,4970.542969,3128.680329,67.5,29.6,8.8,RF.b_10361.ply,1 unit = 1mm,400000,0.141246,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10362,Fumane,A2,Maiolica,Blank,Blade,Maintenance,NA,0%,Complete,5799.224121,2959.60195,65.1,21.5,10.9,RF.b_10362.ply,1 unit = 1mm,400000,0.137861,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10363,Fumane,D3d.base,Eocenic,Blank,Blade,Optimal,NA,0%,Complete,1003.856384,1230.362987,48.1,13.2,2.6,RF.b_10363.ply,1 unit = 1mm,115306,0.16624,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10364,Fumane,D3d.base,Maiolica,Blank,Blade,Optimal,NA,0%,Complete,1772.869873,1427.635327,47.5,19.2,6.2,RF.b_10364.ply,1 unit = 1mm,130826,0.167298,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10365,Fumane,A2,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,1319.566528,1251.217355,50.3,11.9,4.3,RF.b_10365.ply,1 unit = 1mm,113954,0.169032,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
