ID,Scanner,Unit,Raw_material,Class,Blank,Technology,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,Core_classification
RF.b_10019,Micro-CT,D3d.base,Maiolica,Tool,Bladelet,Optimal,0%,Complete,92.3001709,175.1875123,16.7,5.1,1.5,NA
RF.b_10034,Micro-CT,D3d,Maiolica,Tool,Bladelet,Optimal,0%,Complete,72.37731934,165.7926894,18.7,4.9,1.4,NA
RF.b_10047,Micro-CT,D3d.base,Maiolica,Tool,Bladelet,Optimal,0%,Complete,132.8534393,281.5067658,25.9,5.7,1.6,NA
RF.b_10059,Micro-CT,D3b,Maiolica,Blank,Bladelet,Optimal,0%,Complete,45.40675735,145.6971423,20.3,3.7,0.5,NA
RF.b_10064,Micro-CT,D3d.base,Maiolica,Blank,Bladelet,Optimal,0%,Complete,204.2626648,383.0916002,32.5,7.3,1.9,NA
RF.b_10067,Micro-CT,D3d.base,Maiolica,Blank,Bladelet,Maintenance,1-33%,Complete,328.2554016,485.290734,29.3,9.5,3.1,NA
RF.b_10070,Artec.Spider,D3b.alpha,Maiolica,Blank,Blade,Maintenance,1-33%,Distal,1187.195313,1081.947396,39.4,13.4,4.6,NA
RF.b_10205,Artec.Spider,D1,Maiolica,Blank,Flake,Maintenance,0%,Proximal,15357.49316,4607.663784,NA,40,12.60000038,NA
RF.b_10273,Artec.Spider,D1d,Maiolica,Blank,Bladelet,Optimal,0%,Complete,930.5310669,1021.832951,52.5,10.69999981,4.5,NA
RF.b_10349,Artec.Spider,A1,Maiolica,Blank,Blade,Semi-cortical,33-66%,Complete,2576.025146,1677.783797,44.8,21,7.1,NA
RF.b_10350,Artec.Spider,A1,Scaglia.Variegata,Blank,Blade,Optimal,0%,Complete,1089.069946,1243.313307,44.6,14.7,4,NA
RF.b_10351,Artec.Spider,A1,Maiolica,Blank,Blade,Semi-cortical,33-66%,Complete,5755.404297,2951.509157,64.8,24.6,12.3,NA
RF.b_10352,Artec.Spider,A1,Scaglia.Rossa,Blank,Blade,Semi-cortical,1-33%,Complete,1410.081055,1250.234952,42,15.3,4.4,NA
RF.b_10353,Artec.Spider,A1,Maiolica,Blank,Blade,Optimal,0%,Complete,1318.103271,1163.989052,39.3,17.7,6.7,NA
RF.b_10354,Artec.Spider,A2,Maiolica,Blank,Blade,Maintenance,0%,Complete,9576.226563,4108.412617,76.1,29.2,13.8,NA
RF.b_10355,Artec.Spider,A2,Maiolica,Blank,Blade,Optimal,0%,Complete,3869.290039,2568.493908,61.4,25.1,8.7,NA
RF.b_10356,Artec.Spider,A2,Maiolica,Blank,Blade,Optimal,0%,Complete,1122.7052,1234.945808,40.2,16.3,3.8,NA
